,Comunalitati
C,0.9871475525775824
C_Test,0.711017199624949
Html,0.9559873511999512
Html_test,0.9722999959965859
Java,0.9330407673771324
Java_test,0.570530477204029
PHP,0.9161986543493369
PHP_test,0.9599180658020623
InternetPenetration,0.9330912172424963
InternetUsers,0.9452941204559069
UploadSpeed,0.8993869851270765
Download,0.9123747170111395
FixedBroadbandSubscriptions,0.8179549279310563
ChargesIntellProperty,0.281949393960039
GovernmentExpenditureOnEducation,0.27099323307598844
GrossEnrolmentRatio,0.5258231651312647
HighTechnologyExports,0.15660131250198508
GINIindex,0.9412880943466575
IncomeShareLow20,0.9417293225857354
SurveyMeanIncome,0.7160070976442857
Unemployment,0.29943491201631656
UnemploymentTertiaryEducation,0.20566618585003724
GDP_BM,0.659855419309501
