,F1,F2,F3,F4,F5,F6,F7
C,0.9652878360131733,0.13617227175402558,0.18063304791641865,0.017880975713805557,0.023465355974474765,0.05763963122336743,-0.0017553681402538502
C_Test,0.07724656684826617,0.06916369684639209,0.8285335178189215,0.041607484430974985,0.09551706160663899,-0.05066232373598422,0.01942672281365737
Html,0.43270532371471504,0.14813691927504008,0.8583626066710436,-0.0010087158494145687,0.09656548399931429,-0.024411209073465962,-0.01003619994675396
Html_test,0.9798062037521943,0.020567552901401505,0.08707434557586968,-0.034590169622150176,0.008438616627984797,-0.054178617508089014,0.008474698538034243
Java,0.833082423768897,0.1835483282786539,0.41117702597741385,0.07556690499723488,0.08787920530332646,0.13704532059818245,0.0635875406466483
Java_test,0.07850117376354498,0.1327367398944257,0.6900130345312129,0.1526863301213638,0.17431685903548433,0.059685968811273936,0.11562489073782614
PHP,0.4461137346605385,0.20159402147680583,0.8091706918046014,0.04821759976730658,0.11987388222701191,0.05873726311792474,-0.04048557125390828
PHP_test,0.9673888630453078,0.037738114252645866,0.141674833905982,-0.012958154261202552,0.015746262985393507,-0.03309455424617515,-0.032708126631164514
InternetPenetration,0.13000529222115428,0.930189033724447,0.15700443069345016,0.09288422342100909,0.07899551832149934,0.10319300336779101,0.027771292712489095
InternetUsers,0.12937447322363432,0.9338813537345173,0.16364987952962298,0.1498821152282936,0.0661071722217505,0.049608352577554825,0.01857161492753696
UploadSpeed,0.024951031067964383,0.14470120458623098,0.13982663908742676,0.9177197543483214,0.05831432570713076,0.050063663418693116,-0.10078702828146713
Download,0.04313735584805219,0.36764628171094305,0.1236705065632666,0.8399683516515228,0.12861340006932345,0.194651064818959,-0.008855924760191222
FixedBroadbandSubscriptions,0.13559378486785242,0.8111670073725475,0.15352670512642386,0.23969174027488319,0.15603048920942314,0.18639600434811182,0.038285454727362375
ChargesIntellProperty,0.02050360762058366,0.12634057696855444,0.05611166150739528,0.12577120351116697,0.02749526765829702,0.4958218853127824,-0.002192887899942575
GovernmentExpenditureOnEducation,0.0016699525307312195,0.05826840903752731,-0.018428660993420377,0.02692660962806238,-0.012510534422189723,0.06028351293263183,0.5125816652862926
GrossEnrolmentRatio,0.01988481113757557,0.6019755703814753,0.2360835244379593,0.22174187840811102,0.16118637517935286,0.006634511654357561,0.1792295082898689
HighTechnologyExports,-0.0535483060625065,0.19473557515137632,-0.018836780762780198,0.27998880405597976,0.12576710115501996,0.1456783031809495,0.004884744974240918
GINIindex,-0.05127284215403903,-0.23509632657862198,-0.2171992982681712,-0.14483497298566714,-0.8990750484155516,-0.061752637331381824,0.055559623510151035
IncomeShareLow20,0.0560815160673007,0.11493124240324998,0.19437429921103663,0.11930041796690873,0.9268928954902714,0.070530636925478,-0.09620824956655423
SurveyMeanIncome,0.008575673426819001,0.4792309420727263,-0.13609377658757713,0.1251642064677811,0.18299402108344387,0.5508971127330202,0.33927750360612613
Unemployment,0.031866644801170275,0.011824065053077877,0.2801046764375797,-0.18637873199124297,-0.13827526883257626,-0.05608031995816847,0.4035082486057214
UnemploymentTertiaryEducation,0.04956409445460659,0.1132174229047646,0.28103877536353095,0.14375114050971838,0.08705444364012603,0.1547139116586781,-0.24337080200352015
GDP_BM,0.02793066444186398,0.6466811070855241,-0.013278258829147698,0.10867176448358323,0.01892891933869468,0.4284189938205686,-0.21211280070969216
