,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
C,0.4313065710003662,0.7908718231674217,0.946576800563179,0.9775129918766289,0.9779834650658864,0.981374866164783,0.9814490886975681,0.9814906416521139,0.9815315294824786,0.981872701923614,0.9821257800743196,0.9826325810355735,0.9830008094385989,0.983047359263757,0.9837089643264365,0.9837218937680489,0.9838729608185279,0.9879550151143395,0.9879550373324367,0.9881927156851619,0.9927027557006464,0.9999900635526917,1.000000000000002
C_Test,0.28986626458503784,0.3612738682636596,0.6993463317221293,0.7680240033189727,0.791019101295693,0.7966929739359702,0.7996749243206677,0.8008301910480303,0.8026268496489194,0.8163572026002718,0.8168367393735376,0.8202399719337355,0.8546377174847609,0.921909038569376,0.9959801025445001,0.9972923857204601,0.997326125614296,0.9999566931996323,0.9999619830319081,0.9999621082469633,0.9999931778968802,0.9999933073302125,0.9999999999999994
Html,0.5556545246969601,0.7713957315856725,0.8731240677244492,0.9028576244928694,0.908190853652456,0.9122365767925207,0.9126680445630302,0.9130844930485587,0.9207835072183389,0.9214532970741802,0.9371953590193335,0.9465139498346188,0.9474681699584546,0.9528542956083248,0.9793822464213601,0.982487568542978,0.9826468043406141,0.9862166263489911,0.9865818348101009,0.9990891765625718,0.9996076917717847,0.9997905623888486,0.9999999999999986
Html_test,0.26546354246615506,0.7385855128454063,0.9110106671142939,0.9560390960831315,0.958329798632659,0.9636546210602156,0.965351383017651,0.9661728025144142,0.9662463931926661,0.9663530206927445,0.9736956589106498,0.9768383372013932,0.9768991123733601,0.9794402776939649,0.9893606640941877,0.9908060519765352,0.9911100206681828,0.9947782529449002,0.9949481472797483,0.9966300495209723,0.9969723732907421,0.9984298935409439,1.000000000000003
Java,0.6207134382818763,0.8874584479767716,0.9262925930561237,0.9326175555865107,0.932643409483857,0.9407627226487734,0.9433687800980388,0.9436572509145847,0.9441495594016851,0.9442127063638431,0.944245445561113,0.9442596298843527,0.9442997317243931,0.9448301131599566,0.958652189192674,0.9608004643355058,0.9621156203235133,0.9958427744823468,0.9962596399782482,0.9965753913676632,0.9981406432919453,0.9999278380518908,1.0000000000000027
Java_test,0.3499684454039598,0.3620984317083346,0.6241577486025713,0.6655860320039193,0.6777298201218207,0.6848746101886475,0.6900389933373903,0.6900548535569195,0.6902210111085312,0.7878744281210801,0.7987484554187796,0.8847310115758251,0.8969597509590509,0.9913207249627953,0.9916988633312502,0.9995051395517444,0.9997827090787423,0.9998600923083444,0.9998892513891817,0.9999521463080531,0.9999643952543082,0.9999916507447641,1.0000000000000036
PHP,0.6332983993091235,0.7899550499988454,0.8636410421993594,0.8795728813545048,0.8848292534663111,0.8890788277377999,0.8904327796818379,0.8916705846392289,0.8949252079472563,0.8949835824692295,0.929673238466752,0.9367398814779508,0.9386848294154267,0.9490788120931183,0.9830090539486792,0.984669366947344,0.9846732174402437,0.9887803723406889,0.9898257841897747,0.9990879898078675,0.9992804291300537,0.9995600296921107,0.9999999999999988
PHP_test,0.31124054587761457,0.7684375554318683,0.912523675968437,0.9597423010753073,0.9604943150316742,0.9632605419402772,0.9645774491278237,0.9651644709437261,0.9653017200119367,0.9663584642018137,0.9684072421489278,0.9687497193323309,0.9687536991744587,0.9701651209236523,0.9812239992787585,0.9843885113514209,0.9849670091199977,0.995275248563889,0.9960037410558177,0.9980589895183029,0.998384832151569,0.9985079332345176,1.0000000000000002
InternetPenetration,0.5481260964152548,0.7086287544500551,0.7750211400368202,0.83525322069025,0.839897133248099,0.8918647633092481,0.8988197976975077,0.9061509901328705,0.9075386637765273,0.9077103606627813,0.9077571164499874,0.9199538899748404,0.9733569733910554,0.9813083941167062,0.9828611404581824,0.9873484302795008,0.9888608448220791,0.9889352603884075,0.9889815771987147,0.9899003312500045,0.9984208564102471,0.9999998221024937,1.0000000000000004
InternetUsers,0.557948279926234,0.7211933450953063,0.7797040405542051,0.8314162573056867,0.8319446365006103,0.8804817512023521,0.8968367961650476,0.9030162222311493,0.9039420074479082,0.9042167803477712,0.9054166879646286,0.921146398467682,0.9689171223683039,0.9817990163959889,0.9834787531200689,0.9873559668212367,0.9888171237714162,0.9891001119845589,0.9892068865105613,0.9899558831060944,0.9982527595290206,0.9999982237464689,1.0000000000000004
UploadSpeed,0.19474271178136035,0.31880366907076874,0.3407668486982122,0.47584452402468175,0.7453224851133949,0.8129405281400115,0.8828431354819166,0.9481421217118374,0.9576710922362753,0.9626748352633735,0.9643015744308386,0.967776894654171,0.9680778257126491,0.9684664859786049,0.9685930157563175,0.9719294371900179,0.9978466940897817,0.9981947433007164,0.999445977461101,0.9994909464876189,0.99987274784026,0.9999997871894517,0.9999999999999999
Download,0.35265592067108165,0.5792183153982596,0.5807327936044135,0.6506607164971815,0.790971266731568,0.8405339521425471,0.8781918324845492,0.9390998424122168,0.9503972987381648,0.9545881508741356,0.9546775831840566,0.9549744976551405,0.9564128407465375,0.9568121155648388,0.9568146492554587,0.9585086389949159,0.9975392370588051,0.9977381735186744,0.9996771190186639,0.9996815166649631,0.9999102145510119,0.9999999086767497,1.0000000000000013
FixedBroadbandSubscriptions,0.5793683380107141,0.7689895846562887,0.8100177014978407,0.8262846457455346,0.8283520554066659,0.8445239282448646,0.8594218253429385,0.8597243289539176,0.8681124323050957,0.876033518866874,0.8762940650903959,0.8867883813223907,0.891408723147137,0.896922315606887,0.9210172838291787,0.9963507173795096,0.9988980066339562,0.999869569609038,0.9998734954397653,0.9999532782643996,0.9999811611620028,0.999997547348728,1.0000000000000002
ChargesIntellProperty,0.06904411907624221,0.12826201753621752,0.1403175536742162,0.14471100935010808,0.16052985449248078,0.18940678546512055,0.8059559301548092,0.8692545840422541,0.880275465141757,0.8930699611412567,0.9452370386595196,0.9977612989723322,0.9983828602152127,0.9985669487303952,0.9992529135430761,0.9996031157875208,0.9996229618501221,0.9999843616320323,0.9999932734508798,0.9999941224677081,0.9999965128791244,0.9999994650224525,0.9999999999999992
GovernmentExpenditureOnEducation,0.0028913479845729295,0.008178739386467654,0.02554540769687306,0.18278396155454654,0.1929577137288513,0.7022835316752734,0.7025084476450135,0.7984145441308408,0.8821241623712893,0.9079287516783179,0.9555507161115785,0.9948412748911067,0.9950341679981674,0.9960791082721752,0.99967498479148,0.9999403417854786,0.9999504258477396,0.9999990607667399,0.9999990841127775,0.9999998229196614,0.9999998248025406,0.9999999799267506,0.9999999999999996
GrossEnrolmentRatio,0.38028735635547434,0.5098944596860149,0.5101278078216288,0.5695425393394369,0.5700389530598606,0.570249227324759,0.6112164547188799,0.6498508887832335,0.6632509249611558,0.6645697010185864,0.8779720910498844,0.8872873515540022,0.9594391947843188,0.9960040463164075,0.997345619895545,0.9998353137572087,0.99986506055331,0.9998776784089914,0.9999821155172897,0.9999853860373822,0.999995268481166,0.9999964700306325,0.9999999999999988
