,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
C,0.6567393478392826,0.5996376006948325,-0.3945947001617703,-0.17588687078190288,0.02169039393965864,0.05823573730018896,-0.008615250012920333,0.0064461581229247585,-0.006394359261470157,0.018470853828000885,0.015908430177285833,0.022512240254001253,0.019189278335191913,0.0068227432282087835,0.025721684678098645,-0.0035957532746819813,-0.012290933669950542,0.06389095629125849,0.0001490573624321157,0.015416820447976537,0.06715683148782772,0.08536572996258722,0.003152213081342025
C_Test,0.5383922961791316,0.26722201196499845,0.5814399912789537,0.26206425089440055,-0.15164134652765465,-0.075325112945665,0.054607237475425785,0.033989214868287675,0.042387009813020265,-0.11717658875113404,-0.021898328092935855,0.05833723133812468,-0.1854662922232107,-0.2593671549842329,0.27215999701485166,-0.036225449285826425,-0.005808605154075395,0.05128905911923379,0.0022999635379302246,0.00035385739386106844,-0.0055740156007131935,0.00035976844263767754,0.002587019479425022
Html,0.7454223800617742,0.4644795010425244,0.31894879861629305,0.17243420997128245,-0.07302896110165161,-0.0636059992458629,0.0207718022932402,-0.020407069498791792,0.08774402640510773,-0.025880298604175213,-0.12546737402668975,-0.09653284837445407,0.030890453603594898,-0.07339022857213481,-0.16287403357513827,0.055725417195548736,0.012618866733432068,-0.05974798748390538,0.0191104280723843,0.1118362273705212,0.02277092903710528,-0.013522966281993499,-0.014471959478591302
Html_test,0.5152315425768836,0.6878386223375736,-0.41524107969815266,-0.21219903149834987,0.04786128445338147,0.07297138088015498,-0.04119177050620007,0.02866041689793062,-0.008578500932677579,0.010326059271495772,0.08568919545605058,0.05605959588458954,-0.007795843249251991,0.05040997243209657,0.0996011365408186,-0.03801825722396467,0.01743469792246633,-0.060565933301794085,0.013034352106956342,0.041011001465752615,-0.018501993670135487,-0.03817748354988631,0.03962456888168255
Java,0.7878536909108672,0.516473629234732,-0.19706380966415918,-0.07952963303314725,-0.005084672786553913,0.09010723147958967,0.051049558756814266,-0.016984428649380608,-0.022188025759412585,-0.007946506286289779,0.005721817654373265,0.0037662080717555755,0.006332601364396317,0.023030011627515775,-0.1175673255318734,0.04634948913237102,-0.03626507945679189,0.18364954167880063,0.02041728424402593,-0.017769394739690754,-0.03956326483345488,-0.042275226314538616,-0.008494818898117016
Java_test,0.5915813092077536,0.11013621704223728,0.5119172949747222,0.20353939029423254,-0.11019885715333637,0.08452686003174832,0.07186364274612576,0.003982489112263793,-0.012890211464969123,-0.3124954671872041,0.10427860421821653,0.29322782295860933,0.1105836307200383,0.30718231395011075,-0.019445780222324332,-0.08835313362011624,0.01666041797188709,-0.008796773817830568,-0.005399914891672445,-0.007930631681738468,0.003499849461790245,0.0052206791182645975,-0.002889507784956091
PHP,0.7958004770726915,0.39579875023769584,0.2714516387876744,0.12622138945180958,-0.07250084214549724,-0.06518875878162385,0.03679608598802315,-0.03518245240728716,0.05704930593817418,-0.007640322111872876,-0.18625159327512475,-0.08406332738595887,0.04410156388923071,-0.10195088365331403,-0.18420163369406078,0.04074693851892167,-0.0019622672854949443,-0.0640870884066771,-0.032332829277466384,-0.0962403533768075,-0.013872250076544697,0.01672126077952848,0.02097546919351659
PHP_test,0.5578893670591102,0.6761634488452136,-0.37958677602963026,-0.21729847009785946,0.02742287286859019,0.05259493234716731,-0.03628921585742071,0.024228533094318015,-0.011715334745987925,0.032507602032093935,0.0452634283623561,0.018506139073373597,0.001994954166847233,-0.037568893371956937,0.10516120175761717,-0.05625399605950144,0.02405198055414069,-0.1015295003626597,-0.02699060006610788,-0.04533484821288384,-0.018051111690590434,-0.01109509274177139,-0.03862728006839923
InternetPenetration,0.740355385213922,-0.4006278298306302,-0.2576671992838147,0.24542224971145088,0.06814625857557383,-0.22796409818466842,-0.08339684879094456,0.08562238279423622,0.03725149183129084,-0.013103315849588891,0.0068378203549086655,-0.1104390036393531,-0.23109107169299092,0.08917073917855985,-0.03940490250560383,-0.06698723625675548,0.03888977426751631,0.00862644575293792,-0.006805645473225061,-0.0303109559613327,0.09230669076639356,-0.03973620128103053,0.00042177897862705465
InternetUsers,0.7469593562746463,-0.4040359701426004,-0.24188984157855567,0.22740320303698805,0.022986500275675885,-0.22031140393030424,-0.1278868443691358,0.07860932556701926,0.03042671879711754,-0.0165762752107653,0.034639682689906186,-0.12541814263914686,-0.2185651479550706,0.11349843182918908,-0.04098459130063425,-0.06226727632687767,-0.03822508273607029,-0.016822253509644544,0.010333175988162158,0.0273678021684794,-0.09108719132197587,0.04177875318206872,-0.0013327616184039667
UploadSpeed,0.4412966256174642,-0.3522228801333161,0.1481997963137719,-0.36752914894803856,-0.5191126670470614,0.26003469581310973,-0.26439101221846606,-0.25553666318147156,-0.09761644597319619,0.07073714036556886,-0.040332854690253994,-0.058951846649044126,-0.01734736459748306,0.019714468442130963,0.011248545582104875,-0.057761764461453535,-0.1609883750454169,-0.018656077051052523,-0.0353727884168681,0.006705894908064498,0.019539737783324056,-0.01127117337244477,0.0004613139367410205
Download,0.593848398727387,-0.4759857085324915,0.038916297436343054,-0.2644388830954479,-0.37458049900440166,0.22262678502592434,-0.19405638444019846,-0.2467954819839041,-0.10628949301764497,0.06473679120848393,-0.009456865755679823,0.017231206315402467,-0.037925493950600776,-0.019981862233065768,-0.0015917570857037773,0.041158106606805876,0.1975616310519055,0.014104483679644836,0.04403345886924357,-0.0020970565798900096,-0.015122760530036281,0.009470698270867944,0.00030219737214742587
FixedBroadbandSubscriptions,0.761162491200607,-0.4354552177268917,-0.20255398500536084,0.12754193133120542,0.04546877677188215,-0.12716867868385912,-0.12205694203147156,-0.017392630938964145,0.09158658936317111,-0.08900048630079635,0.01614144428240098,0.10244176995735099,0.06797309633043294,0.0742535686667647,0.1552255398518291,0.27446936723490833,-0.050470677174440676,-0.031169904957854343,0.0019813709212112636,-0.008932123187365588,0.005280425892208854,-0.004047985514466004,-0.001566094273111553
ChargesIntellProperty,0.2627624765377321,-0.2433472795409378,-0.10979770552246836,-0.06628314775183736,-0.12577299051216317,0.16993213637402363,0.7852064344423628,-0.25159223733542513,0.1049803843558544,-0.11311275789892004,0.228401132918081,-0.22918171897604023,-0.024931129996059787,0.013567922286866681,0.026190929969760836,0.018713691363402278,-0.004454891985373105,-0.01901051766549711,-0.00298526696420694,-0.0009214210917489139,0.0015460955391914909,0.0017181802373903733,0.0007314215930337256
GovernmentExpenditureOnEducation,0.05377125611860792,-0.07271445112145676,-0.131782655575024,0.3965331686727776,0.10086501957717928,0.7136706649053344,-0.01499719872976853,0.30968709447735676,-0.2893261451034948,-0.16063806929563282,-0.21822457339461257,-0.19821846225699624,0.013888596295543208,0.03232553594308625,0.059965627815480954,0.01628978188922841,0.003175541254817453,-0.006973874031007473,-0.00015279410174579857,0.0008595387622955592,-4.339215543431164e-05,0.00039385810898474134,0.00014168009367286302
