CountryCode,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23
ABW,0.0017264916794296156,0.04925040481697843,0.17646504155101408,0.0699646635165094,0.05653406827337676,0.0008757419536860616,0.07588800654534447,0.05344762103127585,0.020399149596090283,0.07907209014226602,0.10646857496903951,0.08084006819946757,0.16130440432459872,0.047622215750217516,0.0005044381168177366,0.0012780031870262382,5.3703461391264954e-05,0.0034410883888573904,2.2881272135491225e-05,0.0062368270138510925,0.0026003930539993496,0.0031540752153408486,0.002850047941286159
AGO,0.7695554020843011,0.04874648612291421,5.860869119614433e-06,0.05231170287990345,0.0012291182683867574,0.0012138996834762498,0.0335620973340858,1.85995194200711e-05,0.002166519722171547,0.0019795937609844976,0.008272220743715336,0.060538437470372346,0.0008598472904247711,0.0023133929735777697,0.00019156949863006345,9.03195895894916e-05,0.00018034206700136,4.8182167816382e-05,0.007632605366907465,2.2090450827290438e-08,0.0062542053408877005,0.0028225285681800815,7.0465876834174076e-06
ALB,0.12275822120664147,0.1234184628356136,0.18637768269166047,0.026758575125264222,0.18376572933598845,0.023746786541592155,0.02710054225970607,0.029809442501991374,0.009278710898685302,0.05431555765139453,0.029314915271591493,0.14436494708658573,0.0017380375110967107,0.004035337454238048,0.02177358801753069,0.008656937990346596,3.421290981746783e-05,0.0006415923338771262,0.0007530481944832129,1.2540082660688656e-05,0.0011382962267319026,2.282228162901944e-05,0.00018401359087383016
AND,0.3742387800336233,0.045230220681585845,0.17825462862162275,0.0017540791156548004,0.0007070670583693462,0.15639850302650177,0.00800749379030835,0.0029324250848332296,0.1125196461891823,0.003689416087300534,0.01610328206667697,0.009324994463468118,0.009997983906731064,0.022206210025235557,0.003499838288135274,0.01993301186240309,0.007572675671255943,0.002704173443752861,0.00038039418036153966,0.0026771550797552893,0.002748266268305767,0.018779629537214966,0.00034012551772146345
ARE,0.1606151667671426,0.0398636446905753,5.646729501796983e-05,0.06677888026378402,0.06491327833567673,0.42521003448600925,0.009708429319316175,2.3311928414553895e-05,0.0001540510115998662,0.009845432644696407,0.03390362646818209,2.3536247289972282e-05,0.11678172106870469,0.005086636514568883,0.010344114018612658,0.01855595601908549,0.02861206990032404,0.003070316714452293,0.00307505189738004,0.002212384305741867,5.377348494864448e-05,0.0009628476052131534,0.00014926901326333536
ARG,0.01931796066325034,0.01981695496272214,0.11092813547214926,0.3334458250768172,0.0045030475744852845,0.009923127137834395,0.07743840389773787,0.04090761061848178,0.0009304059541578299,0.08236072680227458,0.20891548618644878,0.026344730684285465,0.01984139268304227,0.011936494591616643,0.005603647327800644,0.009904404670543106,0.00023359276838494863,0.0008949031021904757,0.015196181321776726,0.00039900529093575885,0.0009969559851636094,0.00010273675650535066,5.8270471395793496e-05
ARM,0.3949133989821301,0.28790669755868326,0.20964001732668072,0.012304901014009552,0.01942857007033133,0.01454991390641502,0.014696721331046417,0.0025363395700651313,0.0003372065489627539,2.505786941900985e-08,0.008264733934901448,0.0011996833332937698,0.00321651432758149,0.01791239175667714,0.0021425951195890897,0.000961165359869347,0.00025178929746554925,0.007536495872837659,0.00023854901881345807,0.0013379526882441799,0.000605967843465277,1.8366734408438966e-05,3.3466594683243914e-09
ASM,0.09239247655042261,0.35580954377406726,0.02429653940628991,0.04021344074533527,0.00010208582195491072,0.032545058378010853,0.0004771449935457609,0.0014226962207459074,2.9513721777902708e-05,0.010055163764588803,0.0003688061758739068,0.003324159583752011,0.016050129690955605,0.017076661961319628,0.13800610389763887,0.08608281601779967,0.017886342849276274,0.06190708283763441,0.000932586960398089,0.0035916656476607917,0.0972605991766189,0.00016570790006375247,3.6739242690065644e-06
ATG,0.02590808755651503,0.0013668790654966067,0.02391130513519328,0.013677957302647982,0.006962620646802184,0.40618831061631494,0.010595715204295125,0.17130443259832534,0.008895434952388617,0.02608241456302852,0.004110545811443029,0.001434763064824269,0.18754739745060703,0.03348504574789224,0.06628258015154057,0.00024474513042452756,0.0002488475405692658,0.0062798152871193945,0.00012316178635035752,2.1877746393361926e-05,0.0011975908788307054,0.0031861035308726102,0.0009443682321251661
AUS,0.4242010692912194,0.15337494147122793,0.017131187034887863,0.04935972183184355,0.04548204248884051,0.06828735152954435,0.012831954833870056,0.0693606131794234,0.0032848598364552204,0.02160147172184182,0.0005232210240331992,0.04744724841550137,0.06222760277898809,0.009274118772714118,0.0019237896204909578,0.005804089449473694,0.00197264259376489,0.004949758119867408,0.0001720972509280287,0.00022108750983006813,0.00033583993731731794,0.00015945063764472676,7.384067029221973e-05
